"systemSku","customField1","customField2"
"J.25.SNU.PRD.XX.125.1","JONES YOUTH PRODIGY SNOWBOARD 2025","JONES YOUTH PRODIGY SNOWBOARD 2025"
"J.25.SNW.TWS.XX.155.1","JONES WOMENS TWIN SISTER SNOWBOARD 2025","JONES WOMENS TWIN SISTER SNOWBOARD 2025"
"J.25.SNU.PRD.XX.130.1","JONES YOUTH PRODIGY SNOWBOARD 2025","JONES YOUTH PRODIGY SNOWBOARD 2025"
"J.25.SNW.TWS.XX.146.1","JONES WOMENS TWIN SISTER SNOWBOARD 2025","JONES WOMENS TWIN SISTER SNOWBOARD 2025"
"J.25.SNU.PRD.XX.135.1","JONES YOUTH PRODIGY SNOWBOARD 2025","JONES YOUTH PRODIGY SNOWBOARD 2025"
"8207000033","THIRTY-TWO WOMENS LASHED DOUBLE BOA B4BC SNOWBOARD BOOTS IVORY 2023","THIRTY-TWO WOMENS LASHED DOUBLE BOA B4BC SNOWBOARD BOOTS IVORY 2023"
"215381029607","2022 BURTON WOMEN'S RITUAL LTD STEP ON® SNOWBOARD BOOTS DARK GRAY/PINK",""
"N836514-002M","NITRO RAMBLER SNOWBOARD BINDINGS RAW 2025","NITRO RAMBLER SNOWBOARD BINDINGS RAW 2025"
"N836514-002L","NITRO RAMBLER SNOWBOARD BINDINGS RAW 2025","NITRO RAMBLER SNOWBOARD BINDINGS RAW 2025"
"N836506-005M","NITRO TEAM BINDING SNOWBOARD BINDINGS WHITE 2025","NITRO TEAM BINDING SNOWBOARD BINDINGS WHITE 2025"
"N836506-005L","NITRO TEAM BINDING SNOWBOARD BINDINGS WHITE 2025","NITRO TEAM BINDING SNOWBOARD BINDINGS WHITE 2025"
"N848652-0019.5","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-00110.5","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-0019","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-0018.5","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-00110","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-00111.5","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848652-00111","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025","NITRO CLUB BOA SNOWBOARD BOOTS BLACK 2025"
"N848670-0029","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
"N848670-0029.5","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
"N848670-00210","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025","NITRO TEAM BOA SNOWBOARD BOOTS CHARCOAL 2025"
